ID,Category,word_count,length_newmm,Latency,Audio_Duration,RTF
G01,Greeting,27,Medium,0.7459203749967855,10.392,0.07177832707821262
G02,Greeting,36,Medium,6.381531666993396,13.536,0.47144885246700624
G03,Greeting,17,Medium,0.7173264160010149,5.688,0.12611223910003777
B01,Boundary,15,Short,3.557405709005252,3.816,0.9322342004730745
B02,Boundary,13,Short,2.101206125000317,4.512,0.4656928468529072
B03,Boundary,20,Medium,0.6627731249973294,7.824,0.08471026648738873
K01,Knowledge,26,Medium,3.22887879100017,6.048,0.5338754614748958
K02,Knowledge,29,Medium,0.7037745829948108,11.256,0.06252439436698745
K03,Knowledge,22,Medium,0.7517912080002134,7.056,0.10654637301590325
K04,Knowledge,9,Short,2.1190938339932472,3.384,0.6262097618183355
K05,Q&A,21,Medium,0.9816506249990198,6.792,0.14453042181964368
K06,Q&A,80,Long,2.857695541999419,17.184,0.16629978712752672
K07,Knowledge,68,Long,0.9069712090058601,16.944,0.05352757371375473
T01,Thank you,13,Short,2.80064187500102,4.224,0.6630307469225899
T02,Thank you,13,Short,2.2762690000017756,4.632,0.49142249568259405
